open,high,low,close,adjclose,volume,ingested_at_utc
4437.5,4487.5,4425.0,4450.0,3534.166748046875,29465600,2026-02-16 06:57:36.103698+00:00
4437.5,4475.0,4387.5,4425.0,3514.31201171875,29243600,2026-02-16 06:57:36.103698+00:00
4450.0,4462.5,4312.5,4312.5,3424.96484375,82475600,2026-02-16 06:57:36.103698+00:00
4275.0,4287.5,4212.5,4212.5,3345.545654296875,86821600,2026-02-16 06:57:36.103698+00:00
4212.5,4262.5,4212.5,4250.0,3375.327880859375,64678600,2026-02-16 06:57:36.103698+00:00
4225.0,4237.5,4200.0,4212.5,3345.545654296875,39358000,2026-02-16 06:57:36.103698+00:00
4200.0,4225.0,4150.0,4175.0,3315.763427734375,40294600,2026-02-16 06:57:36.103698+00:00
4150.0,4187.5,4112.5,4175.0,3315.763427734375,54556800,2026-02-16 06:57:36.103698+00:00
4200.0,4250.0,4137.5,4237.5,3365.400390625,43706400,2026-02-16 06:57:36.103698+00:00
4225.0,4225.0,4125.0,4125.0,3276.053466796875,64720000,2026-02-16 06:57:36.103698+00:00
4087.5,4087.5,4012.5,4050.0,3216.489013671875,78779000,2026-02-16 06:57:36.103698+00:00
4012.5,4025.0,3950.0,3962.5,3146.996826171875,61291400,2026-02-16 06:57:36.103698+00:00
3900.0,3975.0,3775.0,3912.5,3107.286865234375,69999200,2026-02-16 06:57:36.103698+00:00
3950.0,4000.0,3912.5,3937.5,3127.14208984375,56503000,2026-02-16 06:57:36.103698+00:00
3950.0,4075.0,3937.5,4062.5,3226.416259765625,52673200,2026-02-16 06:57:36.103698+00:00
4075.0,4087.5,3962.5,3962.5,3146.996826171875,41206600,2026-02-16 06:57:36.103698+00:00
3975.0,4000.0,3900.0,3962.5,3146.996826171875,26290000,2026-02-16 06:57:36.103698+00:00
3937.5,3950.0,3912.5,3950.0,3137.0693359375,36218200,2026-02-16 06:57:36.103698+00:00
4000.0,4062.5,3975.0,4050.0,3216.489013671875,53094000,2026-02-16 06:57:36.103698+00:00
3950.0,4012.5,3925.0,4012.5,3186.70654296875,34110000,2026-02-16 06:57:36.103698+00:00
4012.5,4050.0,3950.0,3962.5,3146.996826171875,25707800,2026-02-16 06:57:36.103698+00:00
4000.0,4012.5,3912.5,3937.5,3127.14208984375,21047400,2026-02-16 06:57:36.103698+00:00
3962.5,3962.5,3862.5,3875.0,3077.504638671875,34351800,2026-02-16 06:57:36.103698+00:00
3850.0,3887.5,3787.5,3787.5,3008.01220703125,36213000,2026-02-16 06:57:36.103698+00:00
3812.5,3862.5,3737.5,3800.0,3017.93994140625,62568600,2026-02-16 06:57:36.103698+00:00
3800.0,3825.0,3725.0,3812.5,3027.867431640625,35492200,2026-02-16 06:57:36.103698+00:00
3737.5,3762.5,3687.5,3750.0,2978.23046875,30273800,2026-02-16 06:57:36.103698+00:00
3725.0,3812.5,3725.0,3787.5,3008.01220703125,46766400,2026-02-16 06:57:36.103698+00:00
3800.0,3812.5,3762.5,3800.0,3017.93994140625,29902600,2026-02-16 06:57:36.103698+00:00
3812.5,3812.5,3750.0,3762.5,2988.15771484375,42715800,2026-02-16 06:57:36.103698+00:00
3787.5,3850.0,3787.5,3850.0,3057.64990234375,36471000,2026-02-16 06:57:36.103698+00:00
3837.5,3862.5,3812.5,3812.5,3027.867431640625,20164000,2026-02-16 06:57:36.103698+00:00
3825.0,3837.5,3662.5,3725.0,2958.37548828125,34817800,2026-02-16 06:57:36.103698+00:00
3750.0,3750.0,3662.5,3712.5,2948.447998046875,49092600,2026-02-16 06:57:36.103698+00:00
3750.0,3787.5,3725.0,3762.5,2988.15771484375,31491600,2026-02-16 06:57:36.103698+00:00
3800.0,3825.0,3775.0,3800.0,3017.93994140625,37695400,2026-02-16 06:57:36.103698+00:00
3800.0,3812.5,3750.0,3775.0,2998.08544921875,25346600,2026-02-16 06:57:36.103698+00:00
3775.0,3887.5,3775.0,3875.0,3077.504638671875,39409600,2026-02-16 06:57:36.103698+00:00
3875.0,4000.0,3875.0,4000.0,3176.779052734375,59184000,2026-02-16 06:57:36.103698+00:00
4050.0,4062.5,3925.0,3937.5,3127.14208984375,48065600,2026-02-16 06:57:36.103698+00:00
3975.0,3987.5,3912.5,3925.0,3117.21435546875,17730000,2026-02-16 06:57:36.103698+00:00
3875.0,3900.0,3787.5,3837.5,3047.722412109375,35483200,2026-02-16 06:57:36.103698+00:00
3787.5,3887.5,3787.5,3875.0,3077.504638671875,28974800,2026-02-16 06:57:36.103698+00:00
3900.0,3950.0,3887.5,3950.0,3137.0693359375,24518400,2026-02-16 06:57:36.103698+00:00
3975.0,3975.0,3887.5,3887.5,3087.43212890625,25170600,2026-02-16 06:57:36.103698+00:00
3862.5,3887.5,3812.5,3825.0,3037.794921875,53056600,2026-02-16 06:57:36.103698+00:00
3800.0,3825.0,3762.5,3787.5,3008.01220703125,34235800,2026-02-16 06:57:36.103698+00:00
3787.5,3787.5,3700.0,3725.0,2958.37548828125,38873600,2026-02-16 06:57:36.103698+00:00
3700.0,3762.5,3675.0,3737.5,2968.302978515625,26900200,2026-02-16 06:57:36.103698+00:00
3762.5,3825.0,3750.0,3775.0,2998.08544921875,30615000,2026-02-16 06:57:36.103698+00:00
3762.5,3775.0,3712.5,3712.5,2948.447998046875,30928400,2026-02-16 06:57:36.103698+00:00
3687.5,3700.0,3575.0,3675.0,2918.665771484375,80081800,2026-02-16 06:57:36.103698+00:00
3662.5,3700.0,3625.0,3637.5,2888.88330078125,32188800,2026-02-16 06:57:36.103698+00:00
3612.5,3650.0,3450.0,3462.5,2749.8994140625,73132000,2026-02-16 06:57:36.103698+00:00
3425.0,3500.0,3400.0,3450.0,2739.971923828125,42558800,2026-02-16 06:57:36.103698+00:00
3450.0,3500.0,3425.0,3437.5,2730.04443359375,26569200,2026-02-16 06:57:36.103698+00:00
3462.5,3475.0,3325.0,3337.5,2650.624755859375,43606000,2026-02-16 06:57:36.103698+00:00
3375.0,3412.5,3350.0,3412.5,2710.189697265625,41912800,2026-02-16 06:57:36.103698+00:00
3400.0,3400.0,3362.5,3375.0,2680.407470703125,25237400,2026-02-16 06:57:36.103698+00:00
3375.0,3425.0,3362.5,3375.0,2680.407470703125,23288400,2026-02-16 06:57:36.103698+00:00
3400.0,3500.0,3400.0,3487.5,2769.754638671875,33226000,2026-02-16 06:57:36.103698+00:00
3537.5,3537.5,3450.0,3462.5,2749.8994140625,51132400,2026-02-16 06:57:36.103698+00:00
3475.0,3600.0,3412.5,3575.0,2839.24609375,68801400,2026-02-16 06:57:36.103698+00:00
3600.0,3625.0,3525.0,3625.0,2878.955810546875,65482600,2026-02-16 06:57:36.103698+00:00
3625.0,3700.0,3612.5,3687.5,2928.59326171875,61564000,2026-02-16 06:57:36.103698+00:00
3675.0,3750.0,3675.0,3737.5,2968.302978515625,38171800,2026-02-16 06:57:36.103698+00:00
