Date,open,high,low,close,adjclose,volume,ingested_at_utc,MA50,MA200,daily_return,volatility_20d,volume_ma20,price_change,running_max,drawdown
2025-03-24,3770.0,3830.0,3630.0,3720.0,3414.17724609375,135658700,2026-02-16 06:57:36.103698+00:00,4027.6277978515627,4484.1822265625,-0.013262578133196978,0.03410819587050383,88669940.0,-45.889404296875,5460.84814453125,-0.3747899308438255
2025-03-25,3770.0,3930.0,3740.0,3900.0,3579.37939453125,157671900,2026-02-16 06:57:36.103698+00:00,4018.8170166015625,4480.87818359375,0.04838710369431243,0.03610091571913287,94264615.0,165.2021484375,5460.84814453125,-0.3445378263968375
2025-03-26,4010.0,4280.0,4000.0,4250.0,3900.605712890625,229422000,2026-02-16 06:57:36.103698+00:00,4016.981435546875,4479.088494873047,0.08974357925012377,0.04119528972338076,103630000.0,321.226318359375,5460.84814453125,-0.28571430487462374
2025-03-27,4250.0,4280.0,4110.0,4240.0,3891.427734375,101189600,2026-02-16 06:57:36.103698+00:00,4017.532109375,4477.390584716797,-0.0023529623835841784,0.04119542544113182,105771335.0,-9.177978515625,5460.84814453125,-0.287394992246386
2025-04-08,3680.0,4080.0,3610.0,4030.0,3698.69189453125,185281600,2026-02-16 06:57:36.103698+00:00,4015.6965283203126,4473.994761962891,-0.04952831017295123,0.03946160212862488,107206675.0,-192.73583984375,5460.84814453125,-0.3226891141012053
2025-04-09,4030.0,4140.0,3970.0,4040.0,3707.869873046875,81414200,2026-02-16 06:57:36.103698+00:00,4008.9048828125,4470.966057128906,0.0024814120173661802,0.037181600698277854,103446570.0,9.177978515625,5460.84814453125,-0.3210084267294431
2025-04-10,4380.0,4400.0,4220.0,4260.0,3909.78369140625,131182600,2026-02-16 06:57:36.103698+00:00,4004.4994921875,4469.359926757813,0.05445547585882671,0.03919955290661747,106438700.0,201.913818359375,5460.84814453125,-0.2840336175028615
2025-04-11,4240.0,4400.0,4200.0,4390.0,4029.09619140625,90221600,2026-02-16 06:57:36.103698+00:00,4003.031025390625,4468.946921386719,0.030516394106981037,0.03764133994820026,105850000.0,119.3125,5460.84814453125,-0.2621849052072293
2025-04-14,4450.0,4550.0,4440.0,4550.0,4175.9423828125,162128800,2026-02-16 06:57:36.103698+00:00,4001.74611328125,4469.4975939941405,0.03644643474123588,0.03797396187529154,108745140.0,146.84619140625,5460.84814453125,-0.23529417550376586
2025-04-15,4280.0,4350.0,4270.0,4280.0,4280.0,156480600,2026-02-16 06:57:36.103698+00:00,4000.339658203125,4470.3391076660155,0.02491835558263067,0.03826449174817711,113487635.0,104.0576171875,5460.84814453125,-0.2162389638528599
2025-04-16,4280.0,4290.0,4090.0,4100.0,4100.0,109735100,2026-02-16 06:57:36.103698+00:00,3994.415419921875,4471.0607421875,-0.04205607476635509,0.03924325422360783,116822490.0,-180.0,5460.84814453125,-0.24920087658801998
2025-04-17,4110.0,4150.0,4040.0,4040.0,4040.0,68392500,2026-02-16 06:57:36.103698+00:00,3989.860986328125,4471.528266601563,-0.014634146341463428,0.03939744670804219,118025935.0,-60.0,5460.84814453125,-0.2601881808330734
2025-04-21,4040.0,4050.0,3950.0,3990.0,3990.0,67071400,2026-02-16 06:57:36.103698+00:00,3985.040791015625,4471.286895751953,-0.012376237623762387,0.039260523839097734,119146675.0,-50.0,5460.84814453125,-0.26934426770395115
2025-04-22,3990.0,4050.0,3960.0,4010.0,4010.0,84001100,2026-02-16 06:57:36.103698+00:00,3980.069921875,4470.503072509766,0.005012531328320913,0.0392854452103324,120899360.0,20.0,5460.84814453125,-0.26568183295560005
2025-04-23,4080.0,4170.0,4030.0,4150.0,4150.0,128948700,2026-02-16 06:57:36.103698+00:00,3975.51279296875,4470.419249267578,0.034912718204488824,0.03974635946688603,124830000.0,140.0,5460.84814453125,-0.2400447897171422
2025-04-24,4200.0,4250.0,4120.0,4170.0,4170.0,145433700,2026-02-16 06:57:36.103698+00:00,3971.172109375,4470.710762939453,0.004819277108433662,0.039333131848304746,129056090.0,20.0,5460.84814453125,-0.23638235496879106
